date,temperature,humidity,luminosity
2022-11-10 15:31:47.224,22.6,33.8,605
2022-11-10 15:31:45.947,22.6,33.8,605
2022-11-10 15:31:44.947,22.6,33.8,605
2022-11-10 15:31:43.668,22.6,33.8,597
2022-11-10 15:31:42.669,22.6,33.8,605
2022-11-10 15:31:41.391,22.6,33.8,605
2022-11-10 15:31:40.388,22.6,33.8,597
2022-11-10 15:31:39.114,22.6,33.8,605
2022-11-10 15:31:38.110,22.6,33.8,597
2022-11-10 15:31:36.836,22.6,33.8,605
2022-11-10 15:31:35.832,22.6,33.8,597
2022-11-10 15:31:34.558,22.6,33.8,597
2022-11-10 15:31:33.555,22.6,33.8,605
2022-11-10 15:31:32.282,22.6,33.8,597
2022-11-10 15:31:31.278,22.6,33.8,605
2022-11-10 15:31:30.004,22.6,33.8,605
2022-11-10 15:31:28.999,22.6,33.8,597
2022-11-10 15:31:27.727,22.6,33.8,597
2022-11-10 15:31:26.723,22.6,33.8,597
2022-11-10 15:31:25.445,22.6,33.8,597
2022-11-10 15:31:24.444,22.6,33.8,605
2022-11-10 15:31:23.167,22.6,33.8,597
2022-11-10 15:31:22.167,22.6,33.8,605
2022-11-10 15:31:20.889,22.6,33.8,597
2022-11-10 15:31:19.890,22.6,33.8,605
2022-11-10 15:31:18.612,22.6,33.8,597
2022-11-10 15:31:17.612,22.6,33.8,605
2022-11-10 15:31:16.334,22.6,33.7,597
2022-11-10 15:31:15.335,22.6,33.7,605
2022-11-10 15:31:14.057,22.6,33.8,597
2022-11-10 15:31:13.057,22.6,33.8,597
2022-11-10 15:31:11.780,22.6,33.7,614
2022-11-10 15:31:10.775,22.6,33.7,605
2022-11-10 15:31:09.501,22.6,33.7,605
2022-11-10 15:31:08.499,22.6,33.7,605
2022-11-10 15:31:07.225,22.6,33.7,597
2022-11-10 15:31:06.221,22.6,33.7,597
2022-11-10 15:31:04.947,22.6,33.7,605
2022-11-10 15:31:03.943,22.6,33.7,597
2022-11-10 15:31:02.670,22.6,33.7,597
2022-11-10 15:31:01.666,22.6,33.7,605
2022-11-10 15:31:00.392,22.5,33.6,597
2022-11-10 15:30:59.387,22.5,33.6,597
2022-11-10 15:30:58.115,22.5,33.6,597
2022-11-10 15:30:57.111,22.5,33.6,597
2022-11-10 15:30:55.837,22.6,33.6,597
2022-11-10 15:30:54.833,22.6,33.6,597
2022-11-10 15:30:53.559,22.6,33.6,605
2022-11-10 15:30:52.556,22.6,33.6,605
2022-11-10 15:30:51.278,22.5,33.5,597
2022-11-10 15:30:50.278,22.5,33.5,597
2022-11-10 15:30:49.000,22.6,33.6,597
2022-11-10 15:30:48.000,22.6,33.6,597
2022-11-10 15:30:46.723,22.6,33.5,605
2022-11-10 15:30:45.723,22.6,33.5,605
2022-11-10 15:30:44.445,22.6,33.5,605
2022-11-10 15:30:43.446,22.6,33.5,605
2022-11-10 15:30:42.167,22.6,33.4,605
2022-11-10 15:30:41.168,22.6,33.4,597
2022-11-10 15:30:39.890,22.6,33.4,597
2022-11-10 15:30:38.891,22.6,33.4,597
2022-11-10 15:30:37.613,22.6,33.4,597
2022-11-10 15:30:36.608,22.6,33.4,597
2022-11-10 15:30:35.334,22.6,33.4,605
2022-11-10 15:30:34.331,22.6,33.4,597
2022-11-10 15:30:33.057,22.6,33.4,597
2022-11-10 15:30:32.053,22.6,33.4,597
2022-11-10 15:30:30.780,22.6,33.4,597
2022-11-10 15:30:29.777,22.6,33.4,589
2022-11-10 15:30:28.503,22.6,33.5,597
2022-11-10 15:30:27.498,22.6,33.5,605
2022-11-10 15:30:26.225,22.6,33.5,597
2022-11-10 15:30:25.222,22.6,33.5,605
2022-11-10 15:30:23.948,22.6,33.5,597
2022-11-10 15:30:22.943,22.6,33.5,597
2022-11-10 15:30:21.666,22.6,33.5,597
2022-11-10 15:30:20.667,22.6,33.5,597
2022-11-10 15:30:19.387,22.6,33.5,605
2022-11-10 15:30:18.388,22.6,33.5,605
2022-11-10 15:30:17.110,22.6,33.5,597
2022-11-10 15:30:16.111,22.6,33.5,597
2022-11-10 15:30:14.832,22.6,33.5,597
2022-11-10 15:30:13.834,22.6,33.5,605
2022-11-10 15:30:12.556,22.6,33.6,597
2022-11-10 15:30:11.555,22.6,33.6,597
2022-11-10 15:30:10.277,22.6,33.5,605
2022-11-10 15:30:09.274,22.6,33.5,597
2022-11-10 15:30:08.000,22.6,33.5,597
2022-11-10 15:30:06.997,22.6,33.5,605
2022-11-10 15:30:05.722,22.6,33.5,605
2022-11-10 15:30:04.719,22.6,33.5,597
2022-11-10 15:30:03.446,22.6,33.5,597
