date,temperature,humidity,luminosity
2022-11-17 15:40:43.540,24.9,35.5,1391
2022-11-17 15:40:38.497,24.9,35.4,1390
2022-11-17 15:40:33.454,25.0,35.6,1268
2022-11-17 15:40:28.410,25.2,35.9,1387
2022-11-17 15:40:23.367,25.0,35.2,1381
2022-11-17 15:40:18.324,24.9,34.3,176
2022-11-17 15:40:13.281,24.9,34.2,1445
2022-11-17 15:40:08.238,24.9,34.2,1453
2022-11-17 15:40:03.195,24.9,34.3,1450
2022-11-17 15:39:58.151,24.9,34.3,1449
2022-11-17 15:39:53.107,24.9,34.4,1453
2022-11-17 15:39:48.065,24.9,34.4,1448
2022-11-17 15:39:43.022,24.9,34.5,1453
2022-11-17 15:39:37.979,24.9,34.7,1453
2022-11-17 15:39:32.936,24.9,34.8,1449
2022-11-17 15:39:27.892,24.9,34.7,1457
2022-11-17 15:39:22.849,24.9,34.9,1448
2022-11-17 15:39:17.805,24.9,34.8,1454
2022-11-17 15:39:12.762,24.9,34.7,1457
2022-11-17 15:39:07.719,24.9,34.7,1456
2022-11-17 15:39:02.676,24.9,34.7,1459
2022-11-17 15:38:57.633,24.9,34.6,1459
2022-11-17 15:38:52.590,24.9,34.7,1459
2022-11-17 15:38:47.547,24.9,34.8,1457
2022-11-17 15:38:42.504,25.0,34.8,1461
2022-11-17 15:38:37.460,24.9,34.8,1459
2022-11-17 15:38:32.416,24.9,34.8,1459
2022-11-17 15:38:27.373,24.9,34.8,1457
2022-11-17 15:38:22.329,24.9,34.9,1456
2022-11-17 15:38:17.286,24.9,34.8,1456
2022-11-17 15:38:12.243,24.9,35.0,1455
2022-11-17 15:38:07.199,24.9,35.0,1458
2022-11-17 15:38:02.155,24.9,35.2,1460
2022-11-17 15:37:57.111,24.9,35.2,1457
2022-11-17 15:37:52.067,25.1,35.1,1460
2022-11-17 15:37:47.024,24.9,35.1,1461
2022-11-17 15:37:41.981,24.9,35.2,1453
2022-11-17 15:37:36.937,24.9,35.2,1458
2022-11-17 15:37:31.893,25.0,35.2,1458
2022-11-17 15:37:26.849,25.0,35.2,1455
2022-11-17 15:37:21.805,25.0,35.1,1459
2022-11-17 15:37:16.761,25.0,35.1,1458
2022-11-17 15:37:11.718,24.9,35.1,1461
2022-11-17 15:37:06.674,25.0,35.1,1460
2022-11-17 15:37:01.632,25.0,35.2,1459
2022-11-17 15:36:56.589,25.0,35.3,1485
2022-11-17 15:36:51.545,25.0,35.3,1485
2022-11-17 15:36:46.502,24.9,35.4,1485
2022-11-17 15:36:41.459,25.0,35.4,1486
2022-11-17 15:36:36.416,24.9,35.4,1487
2022-11-17 15:36:31.373,24.9,35.6,1489
2022-11-17 15:36:26.330,25.0,35.6,1487
2022-11-17 15:36:21.287,24.9,35.7,1485
2022-11-17 15:36:16.245,25.0,35.7,1487
2022-11-17 15:36:11.201,25.0,35.7,1486
2022-11-17 15:36:06.158,24.9,35.7,1483
2022-11-17 15:36:01.115,25.0,35.7,1482
2022-11-17 15:35:56.072,25.0,35.8,1484
2022-11-17 15:35:51.028,24.9,35.6,1483
2022-11-17 15:35:45.985,25.0,35.7,1481
2022-11-17 15:35:40.943,24.9,35.8,1483
2022-11-17 15:35:35.900,25.0,35.7,1485
2022-11-17 15:35:30.857,24.9,35.7,1487
2022-11-17 15:35:25.814,25.0,35.8,1487
2022-11-17 15:35:20.771,25.0,35.7,1488
2022-11-17 15:35:15.727,24.9,35.6,1483
2022-11-17 15:35:10.684,24.9,35.3,1484
2022-11-17 15:35:05.641,24.9,35.5,1480
2022-11-17 15:35:00.597,24.9,35.5,1477
2022-11-17 15:34:55.554,24.9,35.5,1485
2022-11-17 15:34:50.512,24.9,35.3,1489
2022-11-17 15:34:45.468,24.9,35.4,1484
2022-11-17 15:34:40.425,24.9,35.4,1483
2022-11-17 15:34:35.380,25.0,35.4,1483
2022-11-17 15:34:30.337,24.9,35.4,1485
2022-11-17 15:34:25.294,25.0,35.3,1485
2022-11-17 15:34:20.251,24.9,35.3,1487
2022-11-17 15:34:15.207,24.9,35.3,1487
2022-11-17 15:34:10.163,24.9,35.3,1486
2022-11-17 15:34:05.121,24.9,35.3,1482
2022-11-17 15:34:00.077,24.9,35.2,1484
2022-11-17 15:33:55.034,24.9,35.3,1484
2022-11-17 15:33:49.992,24.9,35.3,1488
2022-11-17 15:33:44.949,24.9,35.3,1489
2022-11-17 15:33:39.905,24.9,35.3,1489
2022-11-17 15:33:34.862,24.9,35.4,1485
2022-11-17 15:33:29.819,24.9,35.4,1485
2022-11-17 15:33:24.775,24.9,35.5,1484
2022-11-17 15:33:19.732,24.9,35.5,1487
2022-11-17 15:33:14.688,24.9,35.1,1489
2022-11-17 15:33:09.645,24.9,35.0,1486
2022-11-17 15:33:04.601,24.9,34.7,1488
2022-11-17 15:32:59.559,24.9,34.8,1481
2022-11-17 15:32:54.514,24.8,34.7,1483
2022-11-17 15:32:49.471,24.9,34.5,1482
2022-11-17 15:32:44.429,24.9,34.5,1478
2022-11-17 15:32:39.386,24.9,34.3,1485
2022-11-17 15:32:34.343,24.9,34.4,1487
2022-11-17 15:32:29.299,24.9,34.5,1487
2022-11-17 15:32:24.255,24.9,34.4,1487
2022-11-17 15:32:19.212,24.9,34.2,1486
2022-11-17 15:32:14.168,24.9,34.1,1485
2022-11-17 15:32:09.124,24.9,34.1,1486
2022-11-17 15:32:04.080,24.8,34.1,1489
2022-11-17 15:31:59.036,24.9,34.1,1488
2022-11-17 15:31:53.992,24.9,34.1,1487
2022-11-17 15:31:48.948,24.9,34.1,1487
2022-11-17 15:31:43.904,24.8,34.1,1485
2022-11-17 15:31:38.861,24.9,34.2,1486
2022-11-17 15:31:33.817,24.8,34.1,1488
2022-11-17 15:31:28.774,24.9,34.1,1487
2022-11-17 15:31:23.731,24.8,34.1,1486
2022-11-17 15:31:18.688,24.8,34.0,1487
2022-11-17 15:31:13.644,24.9,34.1,1485
2022-11-17 15:31:08.602,24.8,34.1,1484
2022-11-17 15:31:03.558,24.8,34.1,1480
2022-11-17 15:30:58.516,24.9,34.1,1484
2022-11-17 15:30:53.473,24.9,34.1,1486
2022-11-17 15:30:48.429,24.8,34.1,1484
2022-11-17 15:30:43.385,24.8,34.0,1488
2022-11-17 15:30:38.341,24.8,33.8,1481
2022-11-17 15:30:33.297,24.8,33.9,1488
2022-11-17 15:30:28.253,24.9,34.0,1486
2022-11-17 15:30:23.209,24.8,33.9,1487
2022-11-17 15:30:18.165,24.8,34.0,1486
2022-11-17 15:30:13.121,24.8,34.1,1485
2022-11-17 15:30:08.077,24.8,34.1,1486
2022-11-17 15:30:03.034,24.9,34.1,1484
2022-11-17 15:29:57.990,24.9,34.4,1484
2022-11-17 15:29:52.948,24.9,34.4,1486
2022-11-17 15:29:47.904,24.8,34.4,1483
2022-11-17 15:29:42.860,24.9,34.5,1482
2022-11-17 15:29:37.816,24.8,34.5,1483
2022-11-17 15:29:32.772,24.8,34.4,1488
2022-11-17 15:29:27.728,24.9,34.4,1487
2022-11-17 15:29:22.685,24.9,34.4,1485
2022-11-17 15:29:17.642,24.8,34.4,1486
2022-11-17 15:29:12.599,24.9,34.4,1487
2022-11-17 15:29:07.556,24.9,34.5,1484
2022-11-17 15:29:02.512,24.9,34.7,1488
2022-11-17 15:28:57.468,24.9,34.8,1486
2022-11-17 15:28:52.424,24.9,34.9,1483
2022-11-17 15:28:47.381,24.9,35.1,1484
2022-11-17 15:28:42.338,24.9,35.3,1483
2022-11-17 15:28:37.295,24.9,35.4,1482
2022-11-17 15:28:32.253,24.9,35.4,1483
2022-11-17 15:28:27.209,24.9,35.3,1481
2022-11-17 15:28:22.166,24.9,35.4,1486
2022-11-17 15:28:17.123,24.9,35.3,1488
2022-11-17 15:28:12.079,24.9,35.3,1484
2022-11-17 15:28:07.037,24.9,35.3,1488
2022-11-17 15:28:01.993,24.9,35.4,1487
2022-11-17 15:27:56.949,24.9,35.3,1481
2022-11-17 15:27:51.905,24.9,35.1,1486
2022-11-17 15:27:46.861,24.9,35.1,1486
2022-11-17 15:27:41.817,24.9,35.0,1485
2022-11-17 15:27:36.773,24.9,34.9,1484
2022-11-17 15:27:31.730,24.9,34.7,1483
2022-11-17 15:27:26.687,24.9,34.7,1487
2022-11-17 15:27:21.644,24.9,34.8,1485
2022-11-17 15:27:16.600,24.9,34.9,1485
2022-11-17 15:27:11.556,24.9,35.0,1487
2022-11-17 15:27:06.512,24.9,35.0,1485
2022-11-17 15:27:01.469,24.9,35.2,1483
2022-11-17 15:26:56.425,24.9,35.3,1480
2022-11-17 15:26:51.381,25.0,35.3,1485
2022-11-17 15:26:46.338,25.0,35.5,1484
2022-11-17 15:26:41.295,25.0,35.6,1487
2022-11-17 15:26:36.252,24.9,35.7,1481
2022-11-17 15:26:31.208,25.0,35.7,1483
2022-11-17 15:26:26.164,25.0,35.7,1484
2022-11-17 15:26:21.121,25.0,35.8,1486
2022-11-17 15:26:16.078,25.0,36.0,1490
2022-11-17 15:26:11.034,25.0,36.0,1486
2022-11-17 15:26:05.990,25.0,36.0,1487
2022-11-17 15:26:00.946,25.1,36.1,1487
2022-11-17 15:25:55.902,25.1,35.8,1482
2022-11-17 15:25:50.858,25.0,35.6,1481
2022-11-17 15:25:45.814,25.0,35.6,1483
2022-11-17 15:17:06.703,25.0,34.7,1553
2022-11-17 15:17:01.661,25.1,34.7,1553
2022-11-17 15:16:56.618,25.0,34.8,1553
2022-11-17 15:16:51.574,25.0,35.1,1551
2022-11-17 15:16:46.530,25.0,35.2,1552
2022-11-17 15:16:41.488,25.0,35.4,1548
2022-11-17 15:16:36.444,25.0,35.3,1550
2022-11-17 15:16:31.401,25.0,35.4,1552
2022-11-17 15:16:26.357,25.0,35.0,1551
2022-11-17 15:16:21.314,25.0,34.9,1301
2022-11-17 15:16:16.270,25.0,34.4,1343
2022-11-17 15:16:11.227,25.0,34.4,1550
2022-11-17 15:16:06.184,25.0,34.4,1549
2022-11-17 15:16:01.141,25.0,34.5,1548
2022-11-17 15:15:56.097,25.0,34.4,1550
2022-11-17 15:15:51.055,25.0,34.4,1550
2022-11-17 15:15:46.012,25.0,34.6,1552
2022-11-17 15:15:40.968,25.0,34.8,1555
2022-11-17 15:15:35.924,25.0,34.8,1552
2022-11-17 15:15:30.882,25.0,34.9,1553
2022-11-17 15:15:25.838,25.0,34.9,1550
2022-11-17 15:15:20.795,25.0,35.1,1547
2022-11-17 15:15:15.752,25.0,35.2,1549
2022-11-17 15:15:10.709,25.0,35.1,1552
2022-11-17 15:15:05.666,25.0,35.2,1552
2022-11-17 15:15:00.622,25.0,35.1,1550
2022-11-17 15:14:55.579,25.0,35.0,1555
2022-11-17 15:14:50.536,25.0,34.8,1552
2022-11-17 15:14:45.493,25.0,34.6,1549
2022-11-17 15:14:40.449,25.0,34.5,1549
2022-11-17 15:14:35.406,25.1,34.4,1553
2022-11-17 15:14:30.363,25.1,34.3,1555
